Documento,Pos.,Denominación,Fecha doc.,Ctd.conf.,Nº ped.cliente,Fe.entrega,Solic.,Ctd.ped., Prc.neto,   por,UM, Valor neto, Valor neto,Se,Ctd.ped.
,,,,,,,,,,,,,,,
7295491,10,Buchanan Red Seal 750ml   06x01,04.05.2010,0,FROZA_REDSEAL,12.05.2010,6027282,18,"1,190.95",1,BTL,"21,437.10","21,437.10",32,18
7295489,10,J Wlkr Red 750 ml Lata AIG 12x01,04.05.2010,0,829873/27536,10.05.2010,185343,492,124.54,1,BTL,"65,258.34","61,273.10",32,492
7295489,20,GUINNESS BTL DR 330ML BTL 01x24,04.05.2010,0,829873/27536,10.05.2010,185343,96,13.81,1,BTL,"65,258.34","1,325.30",31,96
7295489,30,Guinness Lata DR 440ml 24x01,04.05.2010,0,829873/27536,10.05.2010,185343,144,18.47,1,BTL,"65,258.34","2,659.94",31,144
7295250,10,Guinness Lata DR 440ml 24x01,04.05.2010,0,300543874,09.05.2010,6024071,9,13.68,1,BTL,"5,163.26","2,954.88",31,9
7295250,20,GUINNESS BTL DR 330ML BTL 01x24,04.05.2010,0,300543874,09.05.2010,6024071,9,10.22,1,BTL,"5,163.26","2,208.38",31,9
7295236,10,BAILEYS ORIGINAL 750ML 12x01,04.05.2010,0,300543873,09.05.2010,6024071,117,77.43,1,BTL,"120,712.53","108,706.80",32,117
7295236,20,Sheridans 750ml   06x01,04.05.2010,0,300543873,09.05.2010,6024071,1,142.72,1,BTL,"120,712.53",856.31,32,1
7295236,30,Baileys Flavours Mint Choco 750ml 12x01,04.05.2010,0,300543873,09.05.2010,6024071,4,77.43,1,BTL,"120,712.53","3,716.47",32,4
7295236,40,Baileys Flavours Caramel 750ml 12x01,04.05.2010,0,300543873,09.05.2010,6024071,8,77.43,1,BTL,"120,712.53","7,432.95",32,8
7295212,10,Buchanan Deluxe 750ml   12x01,04.05.2010,0,300543872,09.05.2010,6024071,139,182.66,1,BTL,"991,417.92","304,683.55",32,139
7295212,20,Buchanan Sr 18y 750ml   06x01,04.05.2010,0,300543872,09.05.2010,6024071,6,376.47,1,BTL,"991,417.92","13,552.79",32,6
7295212,30,CptMrg OSR  750ml  12x01 relay / Lgut,04.05.2010,0,300543872,09.05.2010,6024071,41,46.28,1,BTL,"991,417.92","22,770.55",32,41
7295212,40,Ciroc 750ml 06x01,04.05.2010,0,300543872,09.05.2010,6024071,1,159.1,1,BTL,"991,417.92",954.59,32,1
7295212,50,JWlkr Red 750ml MIDAS C/IBC 12x01,04.05.2010,0,300543872,09.05.2010,6024071,438,92.23,1,BTL,"991,417.92","484,771.39",32,438
7295212,60,JW Black Label 750ml 12x01,04.05.2010,0,300543872,09.05.2010,6024071,27,173.04,1,BTL,"991,417.92","56,064.18",32,27
7295212,70,Vat 69 750ml   12x01,04.05.2010,0,300543872,09.05.2010,6024071,2,43.95,1,BTL,"991,417.92","1,054.77",32,2
7295212,80,J&B Rare 750 ml con 8 Canciones 12x01,04.05.2010,0,300543872,09.05.2010,6024071,119,75.33,1,BTL,"991,417.92","107,566.10",32,119
7295150,10,Ciroc 750ml 06x01,04.05.2010,0,300541950,08.05.2010,6024071,2,159.1,1,BTL,"8,138.53","1,909.18",32,2
7295150,20,JW Black Label 750ml 12x01,04.05.2010,0,300541950,08.05.2010,6024071,3,173.04,1,BTL,"8,138.53","6,229.35",32,3
7294954,10,Buchanan Sr 18y 750ml   06x01,04.05.2010,0,829378/27536,09.05.2010,173503,12,376.47,1,BTL,"383,591.30","4,517.60",32,12
7294954,20,J&B Rare 750ml 12x01,04.05.2010,0,829378/27536,09.05.2010,173503,288,75.33,1,BTL,"383,591.30","21,694.00",32,288
7294954,30,Buchanan Deluxe 750ml   12x01,04.05.2010,0,829378/27536,09.05.2010,173503,504,182.66,1,BTL,"383,591.30","92,062.66",32,504
7294954,40,JW Black Label 750ml 12x01,04.05.2010,0,829378/27536,09.05.2010,173503,252,173.04,1,BTL,"383,591.30","43,605.48",32,252
7294954,50,J Wlkr Red 750 ml Lata AIG 12x01,04.05.2010,0,829378/27536,09.05.2010,173503,"1,440",124.54,1,BTL,"383,591.30","179,335.90",32,"1,440"
7294954,60,BAILEYS ORIGINAL 750ML 12x01,04.05.2010,0,829378/27536,09.05.2010,173503,108,77.43,1,BTL,"383,591.30","8,362.06",32,108
7294954,70,GUINNESS BTL DR 330ML BTL 01x24,04.05.2010,0,829378/27536,09.05.2010,173503,216,10.22,1,BTL,"383,591.30","2,208.38",31,216
7294954,80,Guinness Lata DR 440ml 24x01,04.05.2010,0,829378/27536,09.05.2010,173503,144,13.68,1,BTL,"383,591.30","1,969.92",31,144
7294954,90,Baileys Flavours Mint Choco 750ml 12x01,04.05.2010,0,829378/27536,09.05.2010,173503,72,108.78,1,BTL,"383,591.30","7,832.16",32,72
7294954,100,Baileys Flavours Caramel 750ml 12x01,04.05.2010,0,829378/27536,09.05.2010,173503,60,77.43,1,BTL,"383,591.30","4,645.59",32,60
7294954,110,Old Parr 750ml 12x01,04.05.2010,0,829378/27536,09.05.2010,173503,84,153.07,1,BTL,"383,591.30","12,858.05",32,84
7294954,120,CptMrg OSR  750ml  12x01 relay / Lgut,04.05.2010,0,829378/27536,09.05.2010,173503,72,62.49,1,BTL,"383,591.30","4,499.50",32,72
7294700,10,J Wlkr Red 75cl   12x01,04.05.2010,0,prueba subst mx3,06.05.2010,172486,2,0,"1,200",BTL,0,0,32,2
7294423,10,BAILEYS ORIGINAL 750ML 12x01,04.05.2010,180,TUCAN0510,12.05.2010,6023207,180,124.32,1,BTL,"72,378.78","22,377.60",32,180
7294423,20,Sheridans 750ml   06x01,04.05.2010,12,TUCAN0510,12.05.2010,6023207,12,198.22,1,BTL,"72,378.78","2,378.64",32,12
7294423,30,ZACAPA CENTENARIO 15 750ML 06x01,04.05.2010,30,TUCAN0510,12.05.2010,6023207,30,212.51,1,BTL,"72,378.78","6,375.30",32,30
7294423,40,ZACAPA CENTENARIO 23 750ML 06x01,04.05.2010,60,TUCAN0510,12.05.2010,6023207,60,301.99,1,BTL,"72,378.78","18,119.40",32,60
