date,usd
3/10/2013,1.0284
3/3/2013,1.0254
2/24/2013,1.014
2/17/2013,1.0035
2/10/2013,0.9979
2/3/2013,1.0023
1/27/2013,0.9973
1/20/2013,0.9864
1/13/2013,0.9859
1/6/2013,0.9907
12/30/2012,0.9934
12/23/2012,0.9877
12/16/2012,0.986
12/9/2012,0.992
12/2/2012,0.9931
11/25/2012,0.9971
11/18/2012,1.0011
11/11/2012,0.9967
11/4/2012,0.9981
10/28/2012,0.994
10/21/2012,0.9838
10/14/2012,0.9785
10/7/2012,0.9824
9/30/2012,0.9804
9/23/2012,0.9744
9/16/2012,0.974
9/9/2012,0.9847
9/2/2012,0.9895
8/26/2012,0.9903
8/19/2012,0.9902
8/12/2012,0.9962
8/5/2012,1.0029
7/29/2012,1.013
7/22/2012,1.0122
7/15/2012,1.0187
7/8/2012,1.0157
7/1/2012,1.0247
6/24/2012,1.0225
6/17/2012,1.0253
6/10/2012,1.0339
6/3/2012,1.0302
5/27/2012,1.0235
5/20/2012,1.0098
5/13/2012,0.9988
5/6/2012,0.9869
4/29/2012,0.9869
4/22/2012,0.9944
4/15/2012,0.9986
4/8/2012,0.9948
4/1/2012,0.9965
3/25/2012,0.9935
3/18/2012,0.9914
3/11/2012,0.9934
3/4/2012,0.9929
2/26/2012,0.9968
2/19/2012,0.9987
2/12/2012,0.9964
2/5/2012,0.9994
1/29/2012,1.007
1/22/2012,1.0156
1/15/2012,1.022
1/8/2012,1.0187
1/1/2012,1.0206
12/25/2011,1.0287
12/18/2011,1.0303
12/11/2011,1.0159
12/4/2011,1.0277
11/27/2011,1.0402
11/20/2011,1.021
11/13/2011,1.0161
11/6/2011,1.0084
10/30/2011,1.0018
10/23/2011,1.0135
10/16/2011,1.0241
10/9/2011,1.0461
10/2/2011,1.0326
9/25/2011,1.0036
9/18/2011,0.9893
9/11/2011,0.9892
9/4/2011,0.9794
8/28/2011,0.9869
8/21/2011,0.9858
8/14/2011,0.9869
8/7/2011,0.9651
7/31/2011,0.9486
7/24/2011,0.9507
7/17/2011,0.9612
7/10/2011,0.9611
7/3/2011,0.975
6/26/2011,0.9792
6/19/2011,0.9777
6/12/2011,0.9777
6/5/2011,0.9752
5/29/2011,0.9767
5/22/2011,0.971
5/15/2011,0.9635
5/8/2011,0.9558
5/1/2011,0.9508
4/24/2011,0.9562
4/17/2011,0.9592
4/10/2011,0.9607
4/3/2011,0.9726
3/27/2011,0.9798
3/20/2011,0.9814
3/13/2011,0.9723
3/6/2011,0.9738
2/27/2011,0.9843
2/20/2011,0.9862
2/13/2011,0.9909
2/6/2011,0.9931
1/30/2011,0.9957
1/23/2011,0.9919
1/16/2011,0.9908
1/9/2011,0.9952
1/2/2011,1.002
12/26/2010,1.0125
12/19/2010,1.0079
12/12/2010,1.0076
12/5/2010,1.0147
11/28/2010,1.0166
11/21/2010,1.0161
11/14/2010,1.0043
11/7/2010,1.0089
10/31/2010,1.0226
10/24/2010,1.0221
10/17/2010,1.0086
10/10/2010,1.016
10/3/2010,1.0263
9/26/2010,1.029
9/19/2010,1.0296
9/12/2010,1.0376
9/5/2010,1.0514
8/29/2010,1.0542
